Name,Architecture,Structure,Evolution,Communication,Data access,Knowledge,Code breakdown,Component coupling,Component adjacency,Component cohesion,Communication centralization,Data coupling,Bounded evolution,Knowledge awareness,Component freshness,Team stability
Otg-lis,3.88,3.57,4.24,3.77,3.43,4.51,3.55,3.39,3.03,4.09,3.86,3.5,5.5,5.03,4.03,-
CONTAINER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Remainder,5.28,5.21,5.15,5.5,5.5,5.08,4.21,5.5,5.5,5.5,5.5,-,-,5.5,4.69,-
Root files,5.2,5.21,5.15,5.5,5.5,4.67,4.21,5.5,5.5,5.5,5.5,-,-,5.5,3.96,-
SQL database,3.5,-,-,3.5,3.5,-,-,-,-,-,-,3.5,-,-,-,-
backend,4.44,3.99,4.51,4.44,4.13,5.24,3.35,4.32,3.92,4.26,4.16,-,5.5,5.48,5,-
scripts,3.02,5.5,3.02,5.5,5.5,0.5,5.5,5.5,5.5,5.5,5.5,-,-,0.5,-,-
src/Components/Common,3.02,5.5,3.02,5.5,5.5,0.5,5.5,5.5,5.5,5.5,5.5,-,-,0.5,0.5,-
src/Components/DashboardPage,5.2,5.18,5.11,5.48,5.48,4.79,4.13,5.49,5.49,5.47,5.46,-,-,5.49,4.17,-
src/Components/DevicesUpdatesPage,2.78,4.8,2.71,5.06,5.06,0.5,4.5,5.5,5.5,4.38,4.27,-,-,0.5,0.5,-
src/Components/HomePage,3.62,3.32,4.08,3.53,3.04,4.29,3.57,2.92,2.61,4.04,3.69,-,5.5,4.9,3.75,-
src/Components/InstallationsPage,3.02,5.5,3.02,5.5,5.5,0.5,5.5,5.5,5.5,5.5,5.5,-,-,0.5,0.5,-
src/Components/TimesliderItemDetailPage,4.28,4.14,4.44,4.23,4.23,4.38,3.64,4.48,4.07,4.38,4.16,-,-,5.43,3.53,-
src/Types,5.21,5.14,5.06,5.5,5.5,4.87,3.93,5.5,5.5,5.5,5.5,-,-,5.5,4.32,-
src/api-hooks,3.55,3.17,4.01,2.87,2.87,5.41,3.96,3.48,1.92,3.41,3.54,-,-,5.49,5.34,-
src/constants,2.95,5.21,2.83,5.5,5.5,0.5,4.21,5.5,5.5,5.5,5.5,-,-,0.5,0.5,-
src/helpers/ArcGISHelpers,3.74,3.23,3.77,3.37,3.37,5.26,3,4.03,2.75,3.03,3.47,-,-,5.5,5.03,-
src/helpers/arcgis,4.05,3.7,4.15,3.83,3.83,4.84,4.21,4.36,3.5,2.94,3.69,-,-,5.5,4.27,-
src/helpers/auth,1.75,2.8,2.51,2.18,2.18,0.5,5.5,4.75,4.36,3.02,0.5,-,-,0.5,0.5,-
src/helpers/geo,3.54,3.05,4.06,2.86,2.86,5.5,3.93,4.35,3.42,2.89,1.57,-,-,5.5,5.5,-
src/helpers/geometry,1.76,2.77,2.5,2.19,2.19,0.5,5.5,5,4.21,2.84,0.5,-,-,0.5,0.5,-
src/helpers/http,1.64,2.53,2.31,2.01,2.01,0.5,4.5,4.45,3.64,2.84,0.5,-,-,0.5,0.5,-
src/helpers/plans,1.92,3.14,2.73,2.47,2.47,0.5,5.5,5.5,5.5,3.66,0.5,-,-,0.5,0.5,-
src/helpers/points,4.44,4.03,4.31,4.24,4.24,5.5,4.5,4.5,4.21,3.11,4.01,-,-,5.5,5.5,-
src/helpers/timeslider,4.32,3.95,4.11,4.37,4.37,4.85,2.8,4.47,5.5,4.14,3.39,-,-,5.5,4.29,-
src/helpers/tokens,2.51,4.24,2.62,4.24,4.24,0.5,4.5,5.25,4.36,4.01,3.32,-,-,0.5,0.5,-
src/hooks,3.1,2.73,3.38,2.57,2.57,4.68,3.5,2.68,1.49,2.56,4.24,-,-,5.46,4.01,-
src/lib,4.49,4.22,4.46,4.37,4.37,5.11,3.82,4.5,4.22,4.17,4.4,-,-,5.5,4.76,-
src/utils,2.98,5.33,2.9,5.5,5.5,0.5,4.68,5.5,5.5,5.5,5.5,-,-,0.5,0.5,-
public,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src/api,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
src/helpers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
