Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"3 parameters for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,53,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
"3 parameters for unit mapGraphicsLayers.ts.addAndOrderMapGraphicsLayers(Map,ReturnType,any)",LOW,RAW,2026-07-14,13,"mapGraphicsLayers.ts.addAndOrderMapGraphicsLayers(Map,ReturnType,any)",src/helpers/ArcGISHelpers/mapGraphicsLayers.ts#L17:46,TypeScript,25,1,3
"3 parameters for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,51,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
"3 parameters for unit planBoundingBoxGeometryCore.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-07-18,9,"planBoundingBoxGeometryCore.ts.createPlanBoundingBoxPolygon(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts#L47:67,TypeScript,17,2,3
"3 parameters for unit requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",LOW,RAW,2026-07-13,14,"requireAuthClientHeader.ts.requireAuthClientHeader(any,any,any)",backend/src/routes/auth2/requireAuthClientHeader.ts#L9:26,TypeScript,16,2,3
"3 parameters for unit postProxyHelpers.ts.dispatchArcgisPost(Request,string,string)",LOW,RAW,2026-07-27,0,"postProxyHelpers.ts.dispatchArcgisPost(Request,string,string)",backend/src/routes/arcgis/postProxyHelpers.ts#L65:83,TypeScript,15,3,3
"4 parameters for unit Template.mapSourceToItems(any,FlightPlanType[],any,any)",LOW,RAW,2026-07-04,23,"Template.mapSourceToItems(any,FlightPlanType[],any,any)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/mapSourceItems.ts#L46:65,TypeScript,15,3,4
"3 parameters for unit useImageGalleryPreload.ts.useImageGalleryPreload(boolean,AttachmentType[],number)",LOW,RAW,2026-07-18,9,"useImageGalleryPreload.ts.useImageGalleryPreload(boolean,AttachmentType[],number)",src/Components/HomePage/Body/Common/useImageGalleryPreload.ts#L5:11,TypeScript,14,5,3
"3 parameters for unit applyMapClickCoordinates.ts.patchCoordsFromLonLat(number,number,void)",LOW,RAW,2026-07-18,9,"applyMapClickCoordinates.ts.patchCoordsFromLonLat(number,number,void)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L37:54,TypeScript,14,1,3
"3 parameters for unit requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",LOW,RAW,2026-07-01,26,"requirePassword.ts.requirePassword(express.Request,express.Response,express.NextFunction)",backend/src/helpers/auth/requirePassword.ts#L21:39,TypeScript,14,4,3
"3 parameters for unit resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",LOW,RAW,2026-07-18,9,"resetPasswordHelpers.ts.throwIfResetPasswordFailed(Awaited,any,any)",backend/src/routes/keycloak/management/users/resetPasswordHelpers.ts#L36:52,TypeScript,14,4,3
"3 parameters for unit applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",LOW,RAW,2026-07-18,9,"applyMapClickCoordinates.ts.readFiniteLonLat(any,any,any)",src/Components/HomePage/Body/Left/Tools/EditGeometry/EditForm/EditGeometryPointPanel/applyMapClickCoordinates.ts#L6:20,TypeScript,13,5,3
"3 parameters for unit useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],LegendLayerSyncOptions)",LOW,RAW,2026-07-27,0,"useLegendLayerSyncEffects.ts.useLegendLayerSyncEffects(Dispatch<SetStateAction<LegendLayerDefinition[]>>,string[],LegendLayerSyncOptions)",src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/helpers/useLegendLayerSyncEffects.ts#L47:63,TypeScript,11,1,3
"4 parameters for unit usePointGraphicsEffects.ts.runPointGraphicClick(any,__esri.ViewClickEvent,ReturnType,any)",LOW,RAW,2026-07-27,0,"usePointGraphicsEffects.ts.runPointGraphicClick(any,__esri.ViewClickEvent,ReturnType,any)",src/hooks/features/usePointGraphicsEffects.ts#L96:114,TypeScript,11,3,4
"3 parameters for unit parseCsvImportRows.ts.accumulateCsvRow(string,string,number)",LOW,RAW,2026-07-27,0,"parseCsvImportRows.ts.accumulateCsvRow(string,string,number)",src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/helpers/parseCsvImportRows.ts#L3:19,TypeScript,11,3,3
"3 parameters for unit installersHandlers.ts.handleInstallerUploadMiddleware(Request,Response,void)",LOW,RAW,2026-07-17,10,"installersHandlers.ts.handleInstallerUploadMiddleware(Request,Response,void)",backend/src/routes/installersHandlers.ts#L13:27,TypeScript,11,3,3
"3 parameters for unit planBoundingBoxGeometryCore.ts.getPlanBoundingBoxExtents(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-07-18,9,"planBoundingBoxGeometryCore.ts.getPlanBoundingBoxExtents(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts#L29:41,TypeScript,10,2,3
"3 parameters for unit requireSessionAuth.ts.RequestHandler(any,any,any)",LOW,RAW,2026-07-13,14,"requireSessionAuth.ts.RequestHandler(any,any,any)",backend/src/helpers/auth/requireSessionAuth.ts#L4:15,TypeScript,10,3,3
"3 parameters for unit legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",LOW,RAW,2026-07-13,14,"legacyAuthUsageMonitor.ts.legacyAuthUsageMonitor(any,any,any)",backend/src/helpers/auth/legacyAuthUsageMonitor.ts#L37:47,TypeScript,10,5,3
"3 parameters for unit planBoundingBoxGeometryCore.ts.getValidPlanPoints(PlanBoundingBoxPoint[],any,any)",LOW,RAW,2026-07-18,9,"planBoundingBoxGeometryCore.ts.getValidPlanPoints(PlanBoundingBoxPoint[],any,any)",src/helpers/ArcGISHelpers/planBoundingBoxGeometryCore.ts#L14:26,TypeScript,10,5,3
"3 parameters for unit stepContentFilters.ts.matchesHerhalenValue(Geometry[""herhalen""],any,boolean)",LOW,RAW,2026-07-17,10,"stepContentFilters.ts.matchesHerhalenValue(Geometry[""herhalen""],any,boolean)",src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/stepContentFilters.ts#L3:15,TypeScript,10,4,3
